神策 ID,设备 ID,登录 ID,activity_user_type,app_first_login_time,channel_name,client_type,community_id
-5364457584117232963,7d854dd4091d222f8ab955f6baa93cea,7d854dd4091d222f8ab955f6baa93cea,2.0,2018-07-15 08:52:08.000,,h5,hangzhou
-6672228860747984917,80b19dcf42db56e76e70620466e19f8b,80b19dcf42db56e76e70620466e19f8b,1.0,2016-08-29 09:23:28.000,,h5,chongqing
-8706726784447907686,8176AE0A-D4D3-489D-B553-75930E8451B7,ff5f870126e38b95482419897758059b,2.0,2019-03-25 10:43:06.000,,h5,chengdu
3249447215949570488,818f7fab9b55246502814cbd2961c7de,818f7fab9b55246502814cbd2961c7de,3.0,2017-01-25 13:18:07.000,,h5,nanjing
-3542346862494253438,8252CB26-C28A-4A9E-B14D-0A8B6E191EA9,6586da4f1b0ef5f9059dd206b3b348eb,1.0,2019-08-16 12:16:56.000,,,hangzhou
-256522940055610711,83a5b3b5d75f01af,4a2e8e2d56184b6d7c2147cbe2f35888,,2020-02-29 16:55:53.000,,,hangzhou
-6729410228628478770,83fdb55e184227f511778257c5e659e7,83fdb55e184227f511778257c5e659e7,2.0,2016-12-28 22:54:52.000,,h5,qingdao
559182766530262976,840e08d59e54271ad09a652f188e0391,840e08d59e54271ad09a652f188e0391,2.0,2018-07-02 01:28:08.000,,h5,wulumuqi
9160981950862328776,857e618573d1b6e1,28e7bdfcaeef39ac6d495db084586795,2.0,2019-03-23 15:01:50.000,,h5,chengdu
7412561970437916346,861bbbfe36ddc000,c565f79ef5c54286136a0c671cc26ede,2.0,2018-12-28 10:54:46.000,,h5,suzhou
7668772865200047086,897E2623-8BF5-472E-95F4-6E5AE7BB4831,e58bd7253f736c4f89d63f5349418fdf,,2019-10-23 22:12:36.000,研值商城-H5-分享,,shanghai
-3022611062423201184,89BACA88-789B-4A13-AEA6-CF0847B8CA37,557d8fabc67c1788b19c4d9d3546a86f,3.0,2019-03-31 21:20:09.000,,,wuhan
-6410305011175468988,8d7ca01a392b395756275a831421e551,8d7ca01a392b395756275a831421e551,2.0,2018-02-10 17:55:24.000,,h5,changsha
4537628839348470872,8f6cf164f0c35858,d673f074b83140e07fdb9baf76308ec0,4.0,2018-10-27 08:04:29.000,,,
388683750694212607,8fdaa13764ab529a,a65ac4dfd4e8a480b64df023b3830a76,4.0,2019-06-17 14:12:55.000,,,chengdu
-7930667690893567299,935A2EC5-E83A-420A-8935-EB4B7596C8B6,7d069cfd4efe4e245d40be55aec5d2a9,4.0,2019-04-28 11:26:09.000,,h5,wulumuqi
6065042892945544735,93f6512f9d2aefd6,b16501121bac2f6464c41fc6e94ad8c6,,2019-11-09 20:27:09.000,APP-安卓-华为,,chongqing
5854661792886574468,95fbec6742516bb90ac44271471983d4,95fbec6742516bb90ac44271471983d4,4.0,2020-02-26 21:04:42.000,,,
-3165648024349033038,961b5d56cded43f125509c9348fbf329,961b5d56cded43f125509c9348fbf329,2.0,2019-04-16 12:19:56.000,,h5,chongqing
-3157466402271032869,97334adc79839085,e9e183f51eb6e4a2bac4ed195265579e,,2019-10-14 23:02:56.000,,,suzhou
6110957014393498916,97fc8a4d8aefa96ff22581e5cbc96ccc,97fc8a4d8aefa96ff22581e5cbc96ccc,2.0,2016-08-17 15:27:58.000,,h5,beijing
-642386441214730450,99A49E39-F795-49EC-98B7-F4BFAFF9DBF1,6ae0db9e7c108ebfa4997780c9c367be,4.0,2019-05-07 23:26:07.000,,h5,
8257730228972569910,99f5ed81a9c072f5ab13622aa77fb4b9,99f5ed81a9c072f5ab13622aa77fb4b9,4.0,2018-06-24 08:25:41.000,,h5,shanghai
5527073683053108960,9a3dbff0a6f3c5117de80676a6293906,9a3dbff0a6f3c5117de80676a6293906,2.0,2018-01-05 14:54:48.000,,h5,shanghai
5821882687592648622,9ee3a8dde86ef829486e39e20c25e993,9ee3a8dde86ef829486e39e20c25e993,2.0,2016-10-14 13:53:09.000,,h5,nanjing
